truck_id,timestamp,longitude,latitude,speed_kmh
tr1,2024-09-01 00:00:00,116.3,39.8,0.8914151239263295
tr1,2024-09-01 00:00:30,116.3001,39.8,0.4880047681278514
tr1,2024-09-01 00:01:00,116.3002,39.8,1.0251353587419372
tr1,2024-09-01 00:01:30,116.3003,39.8,1.0821694149173642
tr1,2024-09-01 00:02:00,116.3004,39.8,0.2146894434038491
tr1,2024-09-01 00:02:30,116.3005,39.8,0.40934614794130464
tr1,2024-09-01 00:03:00,116.3006,39.8,0.8383521209501856
tr1,2024-09-01 00:03:30,116.30069999999999,39.8,0.7051272222969254
tr1,2024-09-01 00:04:00,116.3008,39.8,0.7949596527487134
tr1,2024-09-01 00:04:30,116.3009,39.8,0.544086821727926
tr1,2024-09-01 00:05:00,116.301,39.8,1.0638193924588486
tr1,2024-09-01 00:05:30,116.30109999999999,39.8,1.0333375806286846
tr1,2024-09-01 00:06:00,116.3012,39.8,0.8198092092683649
tr1,2024-09-01 00:06:30,116.3013,39.8,1.1381723620904098
tr1,2024-09-01 00:07:00,116.3014,39.8,0.9402528026756137
tr1,2024-09-01 00:07:30,116.30149999999999,39.8,0.5422122611350286
tr1,2024-09-01 00:08:00,116.3016,39.8,0.9106252352247497
tr1,2024-09-01 00:08:30,116.3017,39.8,0.5123352197513004
tr1,2024-09-01 00:09:00,116.3018,39.8,1.0635350903921819
tr1,2024-09-01 00:09:30,116.3019,39.8,0.7850222267041241
tr1,2024-09-01 00:10:00,116.30199999999999,39.8,33.89082581872844
tr1,2024-09-01 00:10:30,116.3021,39.8,30.91442273357635
tr1,2024-09-01 00:11:00,116.3022,39.8,42.335248032044184
tr1,2024-09-01 00:11:30,116.3023,39.8,34.07282310758719
tr1,2024-09-01 00:12:00,116.30239999999999,39.8,32.430033067021355
tr1,2024-09-01 00:12:30,116.3025,39.8,32.88719869707062
tr1,2024-09-01 00:13:00,116.3026,39.8,38.19385511332009
tr1,2024-09-01 00:13:30,116.3027,39.8,37.19266438618447
tr1,2024-09-01 00:14:00,116.30279999999999,39.8,37.47639566957593
